OBSERVATION COUNT,STATE_PROVINCE,CODE,LATITUDE,LONGITUDE,OBSERVATION DATE,MONTH
X,Texas,TX,29.4917768,-103.4670389,6/8/16,6
X,South Carolina,SC,32.161572,-81.1141849,6/8/16,6
X,Texas,TX,32.2346325,-101.483717,6/9/16,6
X,Texas,TX,27.3280664,-98.9715815,6/9/16,6
X,Texas,TX,29.1668521,-103.6106873,6/10/16,6
X,Texas,TX,29.1366997,-103.5220032,6/10/16,6
X,Texas,TX,29.1668521,-103.6106873,6/10/16,6
X,Texas,TX,29.1668521,-103.6106873,6/10/16,6
X,Texas,TX,29.1366997,-103.5220032,6/10/16,6
X,Texas,TX,29.1668521,-103.6106873,6/10/16,6
X,Texas,TX,29.2786999,-103.3696976,6/10/16,6
X,Texas,TX,29.1668521,-103.6106873,6/10/16,6
X,Texas,TX,29.1668521,-103.6106873,6/10/16,6
X,Texas,TX,30.3385837,-97.8927755,6/11/16,6
X,Texas,TX,32.5942744,-101.2177205,6/11/16,6
X,Texas,TX,32.5786963,-101.1402225,6/11/16,6
X,Texas,TX,30.4489356,-99.8142467,6/11/16,6
X,Georgia,GA,31.359619,-81.4602395,6/13/16,6
X,Texas,TX,29.1809226,-102.9557133,6/14/16,6
X,Oklahoma,OK,34.7207537,-98.5173914,6/14/16,6
X,Oklahoma,OK,35.6369014,-97.3741909,6/14/16,6
X,Missouri,MO,36.642827,-93.2299805,6/14/16,6
X,Texas,TX,27.3280664,-98.9715815,6/15/16,6
X,Texas,TX,29.8932402,-97.9297458,6/16/16,6
X,Texas,TX,29.8932402,-97.9297458,6/16/16,6
X,Texas,TX,29.894187,-97.929652,6/16/16,6
X,Texas,TX,29.8932402,-97.9297458,6/16/16,6
X,Texas,TX,29.8932402,-97.9297458,6/16/16,6
X,Texas,TX,29.8932402,-97.9297458,6/16/16,6
X,Texas,TX,29.8932402,-97.9297458,6/16/16,6
X,Texas,TX,29.8932402,-97.9297458,6/16/16,6
X,Texas,TX,29.8932402,-97.9297458,6/16/16,6
X,Texas,TX,27.3280664,-98.9715815,6/16/16,6
X,Texas,TX,29.8932402,-97.9297458,6/16/16,6
X,Texas,TX,29.8932402,-97.9297458,6/16/16,6
X,Texas,TX,29.8932402,-97.9297458,6/16/16,6
X,Texas,TX,29.8932402,-97.9297458,6/16/16,6
X,Texas,TX,29.8932402,-97.9297458,6/16/16,6
X,Arkansas,AR,34.9105432,-92.296436,6/16/16,6
X,Texas,TX,29.8932402,-97.9297458,6/16/16,6
X,Texas,TX,29.89418,-97.92889,6/16/16,6
X,Texas,TX,29.8932402,-97.9297458,6/16/16,6
X,Texas,TX,29.8932402,-97.9297458,6/16/16,6
X,Texas,TX,29.8932402,-97.9297458,6/16/16,6
X,Texas,TX,29.8932402,-97.9297458,6/16/16,6
X,Texas,TX,29.8932402,-97.9297458,6/16/16,6
X,Texas,TX,26.5839986,-99.1474915,6/17/16,6
X,South Carolina,SC,32.4103997,-80.6432641,6/17/16,6
X,Texas,TX,29.857,-95.164,6/17/16,6
X,Texas,TX,27.3196959,-97.6841211,6/19/16,6
X,Texas,TX,32.6694368,-94.1602135,6/19/16,6
X,Texas,TX,30.1853476,-97.8745151,6/21/16,6
X,Texas,TX,29.9031233,-97.9679485,6/21/16,6
X,Texas,TX,27.3280664,-98.9715815,6/22/16,6
X,Texas,TX,29.9398201,-98.007102,6/22/16,6
X,Texas,TX,29.587714,-99.7373199,6/22/16,6
X,Louisiana,LA,29.67766,-91.29038,6/22/16,6
X,Texas,TX,29.9398201,-98.007102,6/23/16,6
X,Texas,TX,29.9398201,-98.007102,6/23/16,6
X,Texas,TX,29.9398201,-98.007102,6/23/16,6
X,Texas,TX,29.9398201,-98.007102,6/23/16,6
X,Texas,TX,29.9398201,-98.007102,6/23/16,6
X,Texas,TX,29.9398201,-98.007102,6/23/16,6
X,Texas,TX,29.9398201,-98.007102,6/23/16,6
X,Texas,TX,32.765352,-94.9844106,6/23/16,6
X,Texas,TX,29.9398201,-98.007102,6/23/16,6
X,Texas,TX,29.9398201,-98.007102,6/23/16,6
X,Texas,TX,29.9398201,-98.007102,6/23/16,6
X,Texas,TX,27.3280664,-98.9715815,6/23/16,6
X,Texas,TX,29.587714,-99.7373199,6/23/16,6
X,Texas,TX,29.9398201,-98.007102,6/23/16,6
X,Texas,TX,29.9398201,-98.007102,6/23/16,6
X,Texas,TX,29.9398201,-98.007102,6/23/16,6
X,Texas,TX,29.9398201,-98.007102,6/23/16,6
X,Texas,TX,29.5951659,-99.519945,6/23/16,6
X,Texas,TX,29.9398201,-98.007102,6/23/16,6
X,Texas,TX,29.9398201,-98.007102,6/23/16,6
X,Texas,TX,29.9398201,-98.007102,6/23/16,6
X,Texas,TX,29.9398201,-98.007102,6/23/16,6
X,Texas,TX,29.9398201,-98.007102,6/23/16,6
X,Texas,TX,30.1853476,-97.8745151,6/25/16,6
X,Texas,TX,30.1853476,-97.8745151,6/26/16,6
X,Texas,TX,26.0757882,-97.7853584,6/27/16,6
X,Texas,TX,27.3280664,-98.9715815,6/29/16,6
X,Texas,TX,29.609375,-98.2426827,6/30/16,6
X,Texas,TX,29.609375,-98.2426827,6/30/16,6
X,Texas,TX,29.609375,-98.2426827,6/30/16,6
X,Texas,TX,29.609375,-98.2426827,6/30/16,6
X,Texas,TX,29.609375,-98.2426827,6/30/16,6
X,Texas,TX,30.1853476,-97.8745151,6/30/16,6
X,Texas,TX,29.609375,-98.2426827,6/30/16,6
X,Texas,TX,32.6134962,-96.9711471,6/30/16,6
X,Texas,TX,29.7531261,-98.0179596,6/30/16,6
X,Texas,TX,29.609375,-98.2426827,6/30/16,6
X,Texas,TX,29.609375,-98.2426827,6/30/16,6
X,Texas,TX,27.3280664,-98.9715815,6/30/16,6
X,Texas,TX,29.609375,-98.2426827,6/30/16,6
X,Texas,TX,29.609375,-98.2426827,6/30/16,6
X,Texas,TX,29.609375,-98.2426827,6/30/16,6
X,Texas,TX,29.609375,-98.2426827,6/30/16,6
X,Texas,TX,29.609375,-98.2426827,6/30/16,6
X,Texas,TX,29.609375,-98.2426827,6/30/16,6
X,Texas,TX,29.609375,-98.2426827,6/30/16,6
X,Texas,TX,29.609375,-98.2426827,6/30/16,6
X,Texas,TX,29.609375,-98.2426827,6/30/16,6
X,Texas,TX,29.609375,-98.2426827,6/30/16,6
X,Texas,TX,29.609375,-98.2426827,6/30/16,6
X,South Carolina,SC,33.5083,-79.0659,7/2/16,7
X,Texas,TX,32.6694368,-94.1602135,7/2/16,7
X,Texas,TX,29.9031233,-97.9679485,7/2/16,7
X,Louisiana,LA,29.3284318,-90.6867743,7/2/16,7
X,Texas,TX,30.7475595,-98.3566797,7/2/16,7
X,Texas,TX,30.2181988,-97.6458054,7/3/16,7
X,Oklahoma,OK,36.1338164,-95.9969502,7/3/16,7
X,Texas,TX,32.2144078,-98.2032198,7/3/16,7
